<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">le secteur public/privé</div>;<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">le secteur public/privé</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Job-Creation
<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une branche, un domaine d’activité</div>;<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une branche, un domaine d’activité</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Job-Creation
<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un emploi</div>;ANGLAIS::niveau::A1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Job-Creation
<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">les offres d’emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">les offres d’emploi</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Job-Creation
<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un employeur</div>;<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un employeur</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Job-Creation
<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">la main-d’œuvre</div>;<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">la main-d’œuvre</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Job-Creation
<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une pénurie de main-d’œuvre</div>;<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une pénurie de main-d’œuvre</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Job-Creation
<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un excédent de main-d’œuvre</div>;<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un excédent de main-d’œuvre</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Job-Creation
<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un employé</div>;<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un employé</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Job-Creation
<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">le titulaire d’un emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">le titulaire d’un emploi</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Job-Creation
<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un salarié</div>;<div class="theme">Thème : Work > The-job-market > Employment > Job-Creation</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un salarié</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Job-Creation
